Обработка предназначена для получения курсов валют за указанный интервал дат 
с Web-сайта РИА "РосБизнесКонсалтинг" (www.rbc.ru).

Отметьте нужные валюты с списке, укажите интервал дат и нажмите кнопку "ОК".

Для получения курсов валют с сервера РИА РосБизнесКонсалтинг (www.rbc.ru) необходимо, чтобы 
код валюты (последние три символа кода) соответствовал международному коду.

Список валют и их кодов приведен в таблице.
        Валюта                                 Код
Австралийский доллар    	    036
Азербайджанский манат   	  031
Алжирский динар         		  012
Андорская песета        		  020
Аргентинское песо       		  032
Армянский драм				   051
Арубанский гульден      	       533
Афгани		       				   004
Багамский доллар        	         044
Бальбоа		      				   590
Барбадосский доллар     	      052
Бат							       764
Бахрейнский динар       	        048
Белизский доллар        		   084
Белорусский рубль       	        112
Бельгийский франк       	        056
Бермудский доллар       	       060
Боливар		      			         862
Боливиано		    		       068
Бразильский реал        		   986
Брунейский доллар       	        096
Бурундийский франк      	       108
Вату			         		      548
Вона		   	      			      410
Восточно - карибский    	        951
 доллар
Гайанский доллар        		   328
Гвинейский франк        		   324
Гибралтарский фунт      	        292
Гонконгский доллар      	         344
Гривна		       				     980
Грузинский купон        		    268
Гуарани		      				    600
Гурд		   	      			        332
Даласи		       				     270
Датская крона				      208
Динар		   		 		          807
Дирхам (ОАЭ)		 	            784
Добра		        			       678
Доллар Зимбабве         	          716
Доллар Каймановых островов    136
Доллар Намибии				     516
Доллар Соломоновых островов	090
Доллар США		       	 		    840
Доллар Тринидада и Тобаго     	  780
Доллар Фиджи		 			242
Доминиканское песо      		  214
Донг		   	      			        704
Драхма		       				     300
Евро		   	      			        978
Египетский фунт         		      818
Злотый		       				     616
Золотая кордоба         		     558
Индийская рупия         		    356
Иорданский доллар       		  400
Иракский динар				     368
Иранский риал				     364
Ирландский фунт         		   372
Исландская крона        		   352
Испанская песета        		   724
Итальянская лира        		   380
Йеменский риал			     	 886
Йена		         			      392
Канадский доллар        		    124
Катарский риал				      634
Квача (замбийская)      		   894
Квача (малавийская)     		 454
Кенийский шиллинг       		   404
Кетсаль		      				    320
Кина		         			       598
Кип								 418
Кипрский фунт				     196
Китайский юань				     156
Колумбийское песо       		  170
Костариканский колон    		188
Крона		        		 	       233
Кубинское песо				      192
Кувейтский динар        		    414
Кьят		         			       104
Латвийский лат	   				 428
Лев								 100
Лей								  642
Лек								  008
Лемпира		      				    340
Леоне		        		 	       694
Либерийский доллар      		  430
Ливанский фунт			     	  422
Ливийский динар         		     434
Лилангени		    			   748
Литовский лит	    			  440
Лоти		         			       426
Люксембургский франк    	      442
Маврикийская рупия      		  480
Малагасийский франк     		 450
Малайзийский ринггит    		 458
Мальтийская лира        		   470
Манат		        			     795
Марка		        		 	      246
Марокканский дирхам     	      504
Мексиканское новое песо 	   484
Метикал		      				   508
Молдавский	лей	   		 	      498
Найра		        			     566
Нгултрум		     			  064
Немецкая марка			  	     280
Немецкая марка			  	     276     // c 01.01.2001
Непальская рупия        		   524
Нидерландский антильский	  532
 гульден
Нидерландский гульден   	     528
Новая кванза		 		      024
Новозеландский доллар   	     554
Новый заир		   		 		 180
Новый соль		   		 		 604
Новый Тайваньский       	       901
 доллар
Норвежская крона        		  578
Оманский риал				    512
Паанга		       				    776
Пакистанская рупия      	       586
Патака		       				    446
Песо Гвинеи - Бисау     		 624
Португальское эскудо    	      620
Пула		         			      072
Риель		        		 	      116
Российский рубль        		   810
Российский рубль        		   643   // c 01.01.2001
Рупия		        		 	      360
Руфия		        		 	     462
Рэнд		         			      710
Сальвадорский колон     	      222
Саудовский риял         		   682
СДР                     		             960
Северо - корейская  вона  	     408
Седи		         			     288
Сейшельская рупия       		690
Сингапурский доллар     	      702
Сирийский фунт				   760
Словацкая крона         		  703
Сом (киргизский)        		   417
Сомалийский шиллинг     	    706
Суданский динар         		  736
Сукре		    			 	  218
Суринамский гульден     	     740
Таджикский рубл         		  762
Така		         			     050
Тала		         			    882
Танзанийский шиллинг    	    834
Тенге (казахский)       		   398
Тиморское эскудо        		 626
Толар		     				 705
Тугрик		       				   496
Тунисский динар         		  788
Турецкая лира				   792
Угандийский шиллинг     	     800
Угия		         			     478
Узбекский сум	    		     860
Уругвайское песо        	       858
Филиппинское песо       	     608
Форинт		       				 348
Франк Джибути				 262
Франк Коморских островов     174
Франк КФА ВЕАС			       950
Франк КФА ВСЕАО         	     952
Франк	КФП	        		 	 953
Франк Руанды		 		   646
Французский франк       	      250
Фунт острова святой Елены    654
Фунт стерлингов         		 826
Фунт Фолклендских       	     238
 островов
Хорватская куна         		 191
Чешская крона				  203
Чилийское песо			         152
Шведская крона			        752
Швейцарский франк       	    756
Шекель		       				 376
Шиллинг		      			       040
Шри - Ланкийская рупия  	  144
ЭКЮ					     	     954
Эскудо Кабо-Верде       	     132
Эфиопский быр		    	   230
Югославский динар       	    890
Ямайский доллар         	      388
